UF,CÓDIGO DO MUNICÍPIO,MUNICÍPIO,CNES,NOME FANTASIA,TIPO NOVO DO ESTABELECIMENTO,TIPO DO ESTABELECIMENTO,SUBTIPO DO ESTABELECIMENTO,GESTÃO,CONVÊNIO SUS,CATEGORIA NATUREZA JURÍDICA,SERVIÇO,SERVIÇO CLASSIFICAÇÃO,SERVIÇO - AMBULATORIAL SUS,SERVIÇO - AMBULATORIAL NÃO SUS,SERVIÇO - HOSPITALAR SUS,SERVIÇO - HOSPITALAR NÃO SUS,NO_LOGRADOURO,NU_ENDERECO,NO_COMPLEMENTO,NO_BAIRRO,CO_CEP,NU_TELEFONE,NU_LATITUDE,NU_LONGITUDE,NO_EMAIL,NO_URL
RJ,330452,RIO DAS OSTRAS,7731582,SERVICO DE ASSISTENCIA ESPECIALIZADA EM DST,016 AMBULATORIO,36 CLINICA/CENTRO DE ESPECIALIDADE,009 OUTROS,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA PARANA,S/N,,CIDADE PRAIANA,28890066,2227602736,-22.5278167,-41.9551082,,
PA,150095,AURORA DO PARA,9711260,USF PEDRO ALVES FERREIRA,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,VILA DO REPARTIMENTO,S/N,ESF,ZONA RURAL,68658000,9138021134,-2.2353650483634064,-47.53412961959839,saudeaurora@hotmail.com,
MG,315727,SANTA BARBARA DO MONTE VERDE,2218887,PROGRAMA SAUDE DA FAMILIA DE SANTA B MONTE VERDE,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA CAMILO NOMINATO DE PAULA,S/N,,SAO CRISTOVAO,36132000,(32) 3283 8272,-21.957266,-43.707855,,
BA,292740,SALVADOR,5428,INSTITUTO COUTO MAIA,006 HOSPITAL,07 HOSPITAL ESPECIALIZADO,N/A,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,CORONEL AZEVEDO,999,EDIF CAJAZEIRAS II H,CAJAZEIRAS II,41332010,71 31037153,-12.8856327,-38.4246505,ICOM.ADMINISTRCAO@SAUDE.BA.GOV.BR,
MG,311880,CORACAO DE JESUS,2205904,HOSPITAL MUNICIPAL SAO VICENTE DE PAULO,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,RUA GONTIJO RIBEIRO,899,,CENTRO,39340000,(38)32281076,-16.68491,-44.36287,hmsaovicentedepaulo@ig.com.br,
MG,316800,TAIOBEIRAS,2098369,HOSPITAL SANTO ANTONIO,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA GRAO MOGOL,194,,CENTRO,39550000,(38)38451311,-15.8083904,-42.231212,,
AM,130420,TEFE,2016141,HOSPITAL REGIONAL DE TEFE,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,ESTRADA DA BEXIGA,S/N,,FONTE BOA,69553125,(97)98445-3221,-3.3526274205536275,-64.7280764579773,,
ES,320030,ALFREDO CHAVES,3743772,PRONTO ATENDIMENTO MUNICIPAL KLINGER MINASSA,008 PRONTO ATENDIMENTO,73 PRONTO ATENDIMENTO,001 PRONTO ATENDIMENTO GERAL,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Não,Sim,RUA MOACIR SAUDINO,145,,CENTRO,29240000,(27)32692315,-20.636930989647542,-40.747411251068115,,
MG,312670,FRANCISCO SA,2760940,HOSPITAL MUNICIPAL DE FRANCISCO SA,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,AVENIDA JK,360,,JOAO GONCALVES,39580000,(38)32331843,-16.472695009576462,-43.48744869232178,,
MG,311230,CAPELINHA,2135124,FUNDACAO HOSPITALAR SAO VICENTE DE PAULO,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,AVENIDA JK,221,,SAO GERALDO,39680130,(33)35161366,-18.234066199963827,-42.26554434085945,hospitalsvpaulo@gmail.com,
RJ,330170,DUQUE DE CAXIAS,2277611,POSTO MEDICO SANITARIO DE IMBARIE,008 PRONTO ATENDIMENTO,20 PRONTO SOCORRO GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,RUA SANTA CATARINA,S/N,,IMBARIE,25271010,2126780014,-22.63611989396151,-43.216419654496015,imbarie.uph@gmail.com,
MG,313380,ITAUNA,2105780,HOSPITAL MANOEL GONCALVES,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,DOUTOR MIGUEL AUGUSTO GONCALVES,1902,,GRACAS,35681147,37 32495300,-20.0671580019532,-44.58528757095337,contabilidade@hmg.org.br,administracao@mg.org.br
PA,150160,BONITO,6703615,USF BOA ESPERANCA,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,BOA ESPERANCA,S/N,VILA,ZONA RURAL,68645000,,-1.366874244274408,-47.3935604095459,,
DF,530010,BRASILIA,2645157,HRL,006 HOSPITAL,05 HOSPITAL GERAL,N/A,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,QD 02 CONJ K,1,AREA ESPECIAL,PARANOA,71570903,(61) 33495225,-15.7784810544865,-47.78233051300049,gab.hrpa@saude.df.gov.br,
SP,351880,GUARULHOS,5200105,HOSPITAL MUNICIPAL PIMENTAS BONSUCESSO MANUEL DE PAIVA,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,RUA SAO JOSE DO PARAISO,100,,PARQUE DAS NACOES,7243550,11 24896610,-23.462970762837763,-46.53291463851929,diretor.tecnico@hmpbsbc.com.br,
CE,231250,SAO JOAO DO JAGUARIBE,2552299,UNIDADE BASICA DE SAUDE SAO JOAO DO JAGUARIBE,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA DANIEL RODRIGUES,691,,CENTRO,62965000,0,-5.269063,-38.268589,secsaudesjj@hotmail.com,
SP,354890,SAO CARLOS,2080931,SANTA CASA DE SAO CARLOS,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Sim,Sim,Sim,RUA PAULINO BOTELHO DE ABREU SAMPAIO,573,,VILA PUREZA,13561060,16-35091100,-22.0112277,-47.90101623127376,santacasa@santacasasaocarlos.com.br,
RJ,330455,RIO DE JANEIRO,2270021,MATERNIDADE ESCOLA DA UFRJ,006 HOSPITAL,07 HOSPITAL ESPECIALIZADO,005 MATERNIDADE,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,006 ATENCAO A INTERRUPCAO DE GRAVIDEZ NOS CASOS PREVISTOS EM LEI,Sim,Não,Sim,Não,RUA DAS LARANJEIRAS,180,,LARANJEIRAS,22240003,(21)22059064,-22.932716900000003,-43.18528288921737,matesc@me.ufrj.br,
GO,521600,PANAMA,2382148,UNIDADE MISTA DE SAUDE DE PANAMA,006 HOSPITAL,15 UNIDADE MISTA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,AV GETULIO VARGAS,540,URBANA,CENTRO,75580000,64992481392,-18.17859586775439,-49.35313940048218,saudepanama@gmail.com,
PB,250750,JOAO PESSOA,2707527,HOSPITAL DA MULHER D CREUZA PIRES,006 HOSPITAL,07 HOSPITAL ESPECIALIZADO,005 MATERNIDADE,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,AV CRUZ DAS ARMAS,1581,,CRUZ DAS ARMAS,58085100,(83)32156066,-7.145772,-34.891704,,
DF,530010,BRASILIA,10464,HRAN,006 HOSPITAL,05 HOSPITAL GERAL,N/A,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,SMHN QUADRA,101,,PLANO PILOTO,70710100,61 3254300,-15.7857462,-47.8827625,,
MT,510670,PONTE BRANCA,2395592,HOSPITAL MUNICIPAL BOM JESUS,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,PRESIDENTE DUTRA,301,,CENTRO,78610000,66 999784480,-17768,-52836,ubsjuranimartinspontebranca-24@outlook.com,
PA,150360,ITAITUBA,6444288,UNIDADE BASICA DE SAUDE CREPURIZAO,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,COMUNIDADE CREPURIZAO,S/N,,ZONA RURAL,68181000,,-4.30978050198082,-55.94856262207031,,
CE,231140,QUIXERAMOBIM,7873360,UNIDADE BASICA DE SAUDE EDIMAR MARTINS DE ALMEIDA,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA QUADRA E,S/N,,SABONETE,63800000,8834411112,-5189,-39281,smsqxm@hotmail.com,
RN,240810,NATAL,3708926,HOSPITAL MUNICIPAL DE NATAL,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,RUA JOAQUIM MANUEL,655,A,PETROPOLIS,59012330,32328540/50/51,-5.782709731035911,-35.19675135612488,,
RN,241220,SAO JOSE DE MIPIBU,2560089,HOSPITAL REGIONAL MONSENHOR ANTONIO BARROS,006 HOSPITAL,07 HOSPITAL ESPECIALIZADO,005 MATERNIDADE,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,RUA MOIZANIEL DE CARVALHO,S/N,,CENTRO,59162000,(84) 3273-5478,-6.069943398955581,-35.24364709854126,,
PA,150360,ITAITUBA,179817,HOSPITAL REGIONAL PUBLICO DO TAPAJOS ITAITUBA,006 HOSPITAL,05 HOSPITAL GERAL,N/A,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,006 ATENCAO A INTERRUPCAO DE GRAVIDEZ NOS CASOS PREVISTOS EM LEI,Sim,Não,Sim,Não,AVENIDA MARECHAL RONDON,S/N,,BOA ESPERANCA,68181010,,-4.27455,-55988,,
AM,130420,TEFE,6203906,CENTRO REGIONAL SAUDE DO TRABALHADOR MARIO EMILIO CARDOSO,023 CENTRO DE REFERENCIA EM SAUDE DO TRABALHADOR,36 CLINICA/CENTRO DE ESPECIALIDADE,005 CENTRO DE REFERÊNCIA EM SAÚDE DO TRABALHADOR CEREST,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA MARECHAL DEODORO,660,ANEXO VI,CENTRO,69550133,,-3.3489001685408084,-64.70829248428345,,
PA,150830,VISEU,2313820,ESTRATEGIA DE SAUDE DA FAMILIA DO MANGUEIRAO,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA 8 DE MAIO,S/N,,MANGUEIRAO,68620000,,-1.2001900241984003,-46.13807201385498,,
PR,411860,PAULA FREITAS,6382959,UAPSF PROGRAMA DE SAUDE DA FAMILIA DE PAULA FREITAS,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA JUVITA GRILO,S/N,,CENTRO,84630000,42 35621155,-26.210047778714543,-50.934966802597046,saude_pmpf@yahoo.com.br,
SP,352470,JAGUARIUNA,2023474,HOSPITAL MUNICIPAL WALTER FERRARI,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,RUA AMAZONAS,8,,DOM BOSCO,13911112,(19) 38671122,-22.70224,-46.99531,uac.saude@jaguariuna.sp.gov.br,
SP,351907,HORTOLANDIA,3615340,UBS JD SANTIAGO ANTENOR MAGNESI,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA PROJETADA,100,,JD SANTIAGO,13186591,(1938091824,-22.858222878878397,-47.22099781036377,,
DF,530010,BRASILIA,5717515,HRSM,006 HOSPITAL,05 HOSPITAL GERAL,N/A,ESTADUAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,006 ATENCAO A INTERRUPCAO DE GRAVIDEZ NOS CASOS PREVISTOS EM LEI,Sim,Não,Sim,Não,AC 102,S/N,BLOCOS A B C D,SANTA MARIA,72502100,33151265,-16.039668091645513,-48.03666830062866,,
SC,420540,FLORIANOPOLIS,3157245,HOSPITAL UNIV PROFESSOR POLYDORO ERNANI DE SAO THIAGO,006 HOSPITAL,05 HOSPITAL GERAL,N/A,ESTADUAL,SIM,PRIVADO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,PROFESSORA MARIA FLORA PAUSEWANG,S/N,,TRINDADE,88036800,61 3255 8651,-27.597040107119152,-48.51781368255615,contabilidade.sede@ebserh.gov.br,www.ebserh.gov.br/web/hu-ufsc
MG,316040,SANTO ANTONIO DO MONTE,2144026,SANTA CASA DE MISERICORDIA DE SANTO ANTONIO DO MONTE,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Sim,Sim,Sim,CORONEL JOSE LUIZ GONCALVES SOBRINHO,4,PREDIO,SENHORA DE FATIMA,35560000,037-3281-8900,-20.08920,-45.28998,santacasa@isimples.com.br,
MG,316800,TAIOBEIRAS,2098369,HOSPITAL SANTO ANTONIO,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA GRAO MOGOL,194,,CENTRO,39550000,(38)38451311,-15.8083904,-42.231212,,
MS,500430,IGUATEMI,2374331,UNIDADE DE SAUDE DA FAMILIA VILA ROSA,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA RAMAO RODRIGUES,65,,VILA ROSA,79960000,,-23.66858133357625,-54.55977916717529,saude@iguatemi.ms.gov.br,
SC,420910,JOINVILLE,2623102,CAPS AD CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,017 UNIDADE DE ATENCAO PSICOSSOCIAL,70 CENTRO DE ATENCAO PSICOSSOCIAL,005 CAPS ALCOOL E DROGA,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA DOUTOR PLACIDO OLIMPIO DE OLIVEIRA,1489,,ANITA GARIBALDI,89202165,(47) 34233367,-26.3111158,-48.8500474,capsad@joinville.sc.gov.br,
MA,210325,CIDELANDIA,2726610,HOSPITAL MUNICIPAL MARICOTA,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,AV QUINZE DE NOVEMBRO,1181,,CENTRO,65921000,,-5.15046254976804,-47.73312621107034,,
BA,292740,SALVADOR,3840,MATERNIDADE ALBERT SABIN,007 CENTRO DE ASSISTENCIA OBSTETRICA E NEONATAL NORMAL,07 HOSPITAL ESPECIALIZADO,005 MATERNIDADE,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,006 ATENCAO A INTERRUPCAO DE GRAVIDEZ NOS CASOS PREVISTOS EM LEI,Não,Sim,Sim,Não,ESTRADA DO COQUEIRO GRANDE,S/N,FAZENDA GRANDE II,CAJAZEIRAS,41342395,(71) 32535353,-12.903188161296153,-38.405734151680846,sesab.masabin@saude.gov.ba.br,
RJ,330450,RIO DAS FLORES,2268329,HOSPITAL GERAL DR LUIZ PINTO,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,RUA MARCELINO DO VALLE,13,,INGLESES,27660322,(24)24581300,-22.168041,-43.578360,faturamentorf@gmail.com,
RJ,330455,RIO DE JANEIRO,6995462,SMS HOSPITAL MUNICIPAL PEDRO II AP 53,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,006 ATENCAO A INTERRUPCAO DE GRAVIDEZ NOS CASOS PREVISTOS EM LEI,Não,Não,Sim,Não,RUA DO PRADO,325,,SANTA CRUZ,23555012,3365 5201,-22909,-43201,cnes.hmp2@spdm-pais.org.br,
DF,530010,BRASILIA,10480,HOSPITAL REGIONAL DE CEILANDIA,006 HOSPITAL,05 HOSPITAL GERAL,N/A,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,QNM AREA ESPECIAL,S/N,,CEILANDIA,73340793,,-15.815563535970762,-48.09593439102173,das.drsc@gmail.com,
SP,355040,SAO PEDRO,2084422,SANTA CASA DE SAO PEDRO,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,006 ATENCAO A INTERRUPCAO DE GRAVIDEZ NOS CASOS PREVISTOS EM LEI,Sim,Não,Sim,Não,RUA MALAQUIAS GUERRA,254,,VILA OLINDA,13520005,(19) 3481.92.68,-22.545359303923327,-47.91414499282837,administracao@hbslsp.org.br,www.saopedro.sp.gov.br
SP,350760,BRAGANCA PAULISTA,8126933,CENTRO ESPECIALIZADO EM SAUDE DA MULHER,016 AMBULATORIO,36 CLINICA/CENTRO DE ESPECIALIDADE,009 OUTROS,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,AVENIDA SAO LOURENCO,1150,PCA DA FRATERNIDADE,JARDIM SAO LOURENCO,12908381,,-22.956895,-46.542333,,
MT,510305,CLAUDIA,2398443,HOSPITAL DONA NILZA DE OLIVEIRA PIPINO,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,AV GASPAR DUTRA,594,,CENTRO,78540000,(65)5461390,-11.505262847708535,-54.87495481967926,,
MA,211120,SAO JOSE DE RIBAMAR,2517248,UNIDADE BASICA DE SAUDE VILA SARNEY FILHO,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA 03,13,,VILA SARNEY FILHO,65110000,,-2.4790921,-44.194324,,
MG,316370,SAO LOURENCO,2764814,CASA DE CARIDADE DE SAO LOURENCO,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,IDA MASCARENHAS LAGE,310,,FEDERAL,37470000,33392060,-22.1206271,-45.0457067,diretoria@hospitalsaolourenco.com.br,
SP,355030,SAO PAULO,2075717,HOSP MUN MATERNIDADE PROFESSOR MARIO DEGNI,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,RUA LUCAS DE LEYDE,257,,VILA ANTONIO,5376010,(11)33949330,-23.578000,-46.765000,,
